book_id,book_url,title,author,language,subjects,bookshelves
4085,https://www.gutenberg.org/ebooks/4085,The Adventures of Roderick Random,"['Smollett, T. (Tobias), 1721-1771']",English,"['Sea stories', 'England -- Fiction', 'Picaresque literature', 'Rogues and vagabonds -- Fiction', 'Sailors -- Fiction', 'Warships -- Fiction', 'Scots -- England -- Fiction', 'Impressment -- Fiction']",[]
6593,https://www.gutenberg.org/ebooks/6593,"History of Tom Jones, a Foundling","['Fielding, Henry, 1707-1754']",English,"['Humorous stories', 'England -- Fiction', 'Bildungsromans', 'Young men -- Fiction', 'Foundlings -- Fiction', 'Identity (Psychology) -- Fiction']",[]
1259,https://www.gutenberg.org/ebooks/1259,Twenty years after,"['Dumas, Alexandre, 1802-1870', 'Maquet, Auguste, 1813-1888']",English,"['France -- History -- Louis XIV, 1643-1715 -- Fiction']",[]
5197,https://www.gutenberg.org/ebooks/5197,My Life — Volume 1,"['Wagner, Richard, 1813-1883']",English,"['Wagner, Richard, 1813-1883', 'Composers -- Germany -- Biography']",[]
27114,https://www.gutenberg.org/ebooks/27114,Ancient States and EmpiresFor Colleges and Schools,"['Lord, John, 1810-1894']",English,"['History, Ancient']",[]
21280,https://www.gutenberg.org/ebooks/21280,"Surgical Experiences in South Africa, 1899-1900Being Mainly a Clinical Study of the Nature and Effects of Injuries Produced by Bullets of Small Calibre","['Makins, George Henry, 1853-']",English,"['South African War, 1899-1902', 'Surgery, Military', 'Gunshot wounds']",[]
22749,https://www.gutenberg.org/ebooks/22749,From Edinburgh to India & Burmah,"['Burn Murdoch, W. G. (William Gordon), 1862-1939']",English,"['India -- Description and travel', 'Burma -- Description and travel']",[]
24950,https://www.gutenberg.org/ebooks/24950,Bradford's History of 'Plimoth Plantation'From the Original Manuscript. With a Report of the Proceedings Incident to the Return of the Manuscript to Massachusetts,"['Bradford, William, 1590-1657']",English,"['Massachusetts -- History -- Colonial period, ca. 1600-1775']",[]
22762,https://www.gutenberg.org/ebooks/22762,"History of the Rise of the Huguenots, Vol. 1","['Baird, Henry Martyn, 1832-1906']",English,['Huguenots'],[]
65662,https://www.gutenberg.org/ebooks/65662,Der Zauberberg. Zweiter Band,"['Mann, Thomas, 1875-1955']",German,"['Germany -- Fiction', 'Sanatoriums -- Fiction']",[]
25112,https://www.gutenberg.org/ebooks/25112,The Life of King Edward VIIwith a sketch of the career of King George V,"['Hopkins, J. Castell (John Castell), 1864-1923']",English,"['Edward VII, King of Great Britain, 1841-1910']",[]
69944,https://www.gutenberg.org/ebooks/69944,Jud Süß,"['Feuchtwanger, Lion, 1884-1958']",German,"['Süss-Oppenheimer, Joseph, 1698 or 1699-1738 -- Fiction']",[]
27274,https://www.gutenberg.org/ebooks/27274,Manures and the principles of manuring,"['Aikman, Charles Morton, 1861-1902']",English,"['Fertilizers', 'Manures']",[]
23520,https://www.gutenberg.org/ebooks/23520,Mon oncle et mon curé; Le voeu de Nadia,"['La Brète, Jean de, 1854-1945']",French,['French fiction -- 19th century'],[]
12082,https://www.gutenberg.org/ebooks/12082,Color Images from Mars RoversSpirit and Opportunity,"['Webster, Bob']",English,['Mars (Planet) -- Pictorial works'],[]
21027,https://www.gutenberg.org/ebooks/21027,"The Trial of Charles Random de Berenger, Sir Thomas Cochrane, commonly called Lord Cochrane, the Hon. Andrew Cochrane Johnstone, Richard Gathorne Butt, Ralph Sandom, Alexander M'Rae, John Peter Holloway, and Henry Lyte for A ConspiracyIn the Court of King's Bench, Guildhall, on Wednesday the 8th, and Thursday the 9th of June, 1814",[],English,"['Napoleonic Wars, 1800-1815', 'Beaufain, Charles Random de Bérenger, baron de -- Trials, litigation, etc.', 'Dundonald, Thomas Cochrane, Earl of, 1775-1860 -- Trials, litigation, etc.', 'Johnstone, Andrew James Cochrane, 1767- -- Trials, litigation, etc.', 'Butt, Richard Gathorne -- Trials, litigation, etc.', 'Sandom, Richard -- Trials, litigation, etc.', 'McRae, Alexander -- Trials, litigation, etc.', 'Holloway, John Peter -- Trials, litigation, etc.', 'Lyte, Henry -- Trials, litigation, etc.', 'Trials (Fraud) -- England -- London']",[]
25735,https://www.gutenberg.org/ebooks/25735,"The Brochure Series of Architectural Illustration, Vol. 01, No. 09 1895Pulpits of Southern Italy",['Various'],English,['Architecture -- Periodicals'],[]
28428,https://www.gutenberg.org/ebooks/28428,Manual of Surgery Volume Second: Extremities—Head—Neck. Sixth Edition.,"['Thomson, Alexis, 1863-1924', 'Miles, Alexander']",English,['Surgery'],[]
19771,https://www.gutenberg.org/ebooks/19771,Henrietta Temple: A Love Story,"['Disraeli, Benjamin, Earl of Beaconsfield, 1804-1881']",English,"['Autobiographical fiction', 'London (England) -- Fiction', 'Love stories', 'Aristocracy (Social class) -- Fiction', 'Upper class families -- Fiction', 'Dandies -- Fiction']",[]
26849,https://www.gutenberg.org/ebooks/26849,The Works of Mr. George Gillespie (Vol. 1 of 2),"['Gillespie, George, 1613-1648']",English,"['Gillespie, George, 1613-1648', 'Church of Scotland -- History']",[]
22153,https://www.gutenberg.org/ebooks/22153,Pagan and Christian Rome,"['Lanciani, Rodolfo Amedeo, 1847-1929']",English,"['Christian antiquities -- Italy -- Rome', 'Rome (Italy) -- Antiquities']",[]
22722,https://www.gutenberg.org/ebooks/22722,Woordenlijst voor de spelling der Nederlandsche TaalMet aanwijzing van de geslachten der naamwoorden en de vervoeging der werkwoorden,"['Vries, M. de (Matthias), 1820-1892', 'Winkel, L. A. te, 1809-1868']",Dutch,['Dutch language -- Orthography and spelling'],[]
22136,https://www.gutenberg.org/ebooks/22136,"The Book-HunterA New Edition, with a Memoir of the Author","['Burton, John Hill, 1809-1881']",English,"['Book collecting', 'Bibliomania']",[]
28120,https://www.gutenberg.org/ebooks/28120,Eene Egyptische KoningsdochterHistorische Roman van George Ebers,"['Ebers, Georg, 1837-1898']",Dutch,['Egypt -- History -- To 332 B.C. -- Fiction'],[]
26416,https://www.gutenberg.org/ebooks/26416,The Naval History of the United States. Volume 2,"['Abbot, Willis J. (Willis John), 1863-1934']",English,"['United States -- History, Naval']",[]
21092,https://www.gutenberg.org/ebooks/21092,On the Trail of the Space Pirates,"['Rockwell, Carey']",English,"['Science fiction', 'Astronauts -- Juvenile fiction', 'Interplanetary voyages -- Juvenile fiction', 'Corbett, Tom (Fictitious character) -- Juvenile fiction', 'Space pirates -- Juvenile fiction']",[]
26146,https://www.gutenberg.org/ebooks/26146,Charles Frohman: Manager and Man,"['Marcosson, Isaac Frederick, 1876-1961', 'Frohman, Daniel, 1851-1940']",English,"['Theater -- United States', 'Frohman, Charles, 1860-1915']",[]
3177,https://www.gutenberg.org/ebooks/3177,Roughing It,"['Twain, Mark, 1835-1910']",English,"['West (U.S.) -- Description and travel', 'Hawaii -- Description and travel', 'Twain, Mark, 1835-1910 -- Travel -- West (U.S.)', 'Authors, American -- Homes and haunts -- West (U.S.)', 'West (U.S.) -- Intellectual life -- 19th century']",[]
345,https://www.gutenberg.org/ebooks/345,Dracula,"['Stoker, Bram, 1847-1912']",English,"['Horror tales', 'Epistolary fiction', 'Gothic fiction', 'Vampires -- Fiction', 'Dracula, Count (Fictitious character) -- Fiction', 'Transylvania (Romania) -- Fiction', 'Whitby (England) -- Fiction']",[]
26151,https://www.gutenberg.org/ebooks/26151,The Tapestry Book,"['Candee, Helen Churchill, 1861-1949']",English,['Tapestry'],[]
1661,https://www.gutenberg.org/ebooks/1661,The Adventures of Sherlock Holmes,"['Doyle, Arthur Conan, 1859-1930']",English,"['Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'Detective and mystery stories, English']",[]
25919,https://www.gutenberg.org/ebooks/25919,Miss Mapp,"['Benson, E. F. (Edward Frederic), 1867-1940']",English,"['Humorous stories', 'Female friendship -- Fiction', 'Women -- England -- Fiction', 'Mapp, Miss (Fictitious character) -- Fiction']",[]
26838,https://www.gutenberg.org/ebooks/26838,"A History of the French Novel, Vol. 1From the Beginning to 1800","['Saintsbury, George, 1845-1933']",English,['French fiction -- History and criticism'],[]
