title,author,language,subjects,bookshelves,book_id,book_url
Simple Sabotage Field Manual,['United States. Office of Strategic Services'],English,['Sabotage'],[],26184,https://www.gutenberg.org/ebooks/26184
Project Gutenberg Compilation of Short Stories by Chekhov,"['Chekhov, Anton Pavlovich, 1860-1904']",English,"['Russia -- Social life and customs -- Fiction', 'Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English', 'Short stories, Russian -- Translations into English', 'Russian fiction -- Translations into English']",[],57333,https://www.gutenberg.org/ebooks/57333
Adventures of Huckleberry Finn,"['Twain, Mark, 1835-1910']",English,"['Humorous stories', 'Bildungsromans', 'Boys -- Fiction', 'Male friendship -- Fiction', 'Adventure stories', 'Missouri -- Fiction', 'Race relations -- Fiction', 'Runaway children -- Fiction', 'Finn, Huckleberry (Fictitious character) -- Fiction', 'Fugitive slaves -- Fiction', 'Mississippi River -- Fiction']",[],76,https://www.gutenberg.org/ebooks/76
Dracula,"['Stoker, Bram, 1847-1912']",English,"['Horror tales', 'Epistolary fiction', 'Gothic fiction', 'Vampires -- Fiction', 'Dracula, Count (Fictitious character) -- Fiction', 'Transylvania (Romania) -- Fiction', 'Whitby (England) -- Fiction']",[],345,https://www.gutenberg.org/ebooks/345
The Brothers Karamazov,"['Dostoyevsky, Fyodor, 1821-1881']",English,"['Didactic fiction', 'Fathers and sons -- Fiction', 'Russia -- Social life and customs -- 1533-1917 -- Fiction', 'Brothers -- Fiction']",[],28054,https://www.gutenberg.org/ebooks/28054
Great Expectations,"['Dickens, Charles, 1812-1870']",English,"['Orphans -- Fiction', 'England -- Fiction', 'Revenge -- Fiction', 'Bildungsromans', 'Young men -- Fiction', 'Man-woman relationships -- Fiction', 'Ex-convicts -- Fiction', 'Benefactors -- Fiction']",[],1400,https://www.gutenberg.org/ebooks/1400
"The man who married the moon, and other Pueblo Indian folk-stories","['Lummis, Charles Fletcher, 1859-1928']",English,['Pueblo Indians -- Folklore'],[],77804,https://www.gutenberg.org/ebooks/77804
The Adventures of Sherlock Holmes,"['Doyle, Arthur Conan, 1859-1930']",English,"['Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'Detective and mystery stories, English']",[],1661,https://www.gutenberg.org/ebooks/1661
The Scarlet Letter,"['Hawthorne, Nathaniel, 1804-1864']",English,"['Adultery -- Fiction', 'Historical fiction', 'Revenge -- Fiction', 'Psychological fiction', 'Married women -- Fiction', 'Clergy -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Illegitimate children -- Fiction', 'Women immigrants -- Fiction', 'Puritans -- Fiction', 'Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction']",[],25344,https://www.gutenberg.org/ebooks/25344
The Iliad,"['Homer, 751? BCE-651? BCE']",English,"['Classical literature', 'Epic poetry, Greek -- Translations into English', 'Achilles (Mythological character) -- Poetry', 'Trojan War -- Poetry']",[],6130,https://www.gutenberg.org/ebooks/6130
Leviathan,"['Hobbes, Thomas, 1588-1679']",English,"['Political science -- Early works to 1800', 'State, The -- Early works to 1800']",[],3207,https://www.gutenberg.org/ebooks/3207
Thus Spake Zarathustra: A Book for All and None,"['Nietzsche, Friedrich Wilhelm, 1844-1900']",English,"['Superman (Philosophical concept)', 'Philosophy, German']",[],1998,https://www.gutenberg.org/ebooks/1998
